Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

Geo_n480_ds_06.txt	2017275.51		2012327.438	2823.089		16.329	0.025
Geo_n480_ds_07.txt	1724558.80		1722217.827	1949.905		16.301	0.045
Geo_n480_ds_08.txt	1171080.89		1169947.387	1080.990		16.340	0.062
Geo_n480_ds_09.txt	1331250.86		1329799.860	1107.381		16.360	0.025
Geo_n480_ds_10.txt	1865588.38		1860971.760	3613.183		16.381	0.043
Geo_n480_ss_01.txt	1102516.54		1102296.768	119.732		8.520	0.012
Geo_n480_ss_02.txt	2091664.24		2091555.300	108.815		8.587	0.031
Geo_n480_ss_03.txt	1264930.49		1264885.482	38.860		8.552	0.029
Geo_n480_ss_04.txt	1576818.14		1576529.684	152.121		8.569	0.039
Geo_n480_ss_05.txt	1888829.56		1888445.048	255.343		8.531	0.030
Geo_n480_ss_06.txt	1930156.36		1930013.619	123.217		8.515	0.027
Geo_n480_ss_07.txt	1652530.54		1652318.345	175.214		8.553	0.018
Geo_n480_ss_08.txt	1111407.92		1111244.417	114.952		8.596	0.057
Geo_n480_ss_09.txt	1270501.12		1270204.367	161.428		8.554	0.029
Geo_n480_ss_10.txt	1763837.52		1763706.388	91.314		8.578	0.036
Geo_n960_ds_01.txt	6717693.39		6714730.206	1906.660		35.331	0.031
Geo_n960_ds_02.txt	3441342.47		3438565.712	2029.317		35.458	0.041
Geo_n960_ds_03.txt	6689422.27		6684522.017	6503.989		35.373	0.039
Geo_n960_ds_04.txt	7233225.22		7230859.196	1727.413		35.478	0.057
Geo_n960_ds_05.txt	4675320.43		4674015.257	1448.516		35.339	0.056
Geo_n960_ds_06.txt	6292971.84		6290349.934	2591.969		35.476	0.077
Geo_n960_ds_07.txt	2600270.56		2598699.263	1750.710		35.366	0.066
Geo_n960_ds_08.txt	3440971.72		3439171.652	1208.813		35.454	0.043
Geo_n960_ds_09.txt	3788796.03		3786188.324	3623.639		35.372	0.091
Geo_n960_ds_10.txt	5226257.18		5223333.258	3002.925		35.460	0.018
Geo_n960_ss_01.txt	6501549.07		6501328.272	257.315		18.528	0.046
Geo_n960_ss_02.txt	3323719.32		3323537.556	111.567		18.617	0.038
