Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

RanInt_n240_ss_08.txt	296284.00		294724.800	846.025		5.261	0.042
RanInt_n240_ss_09.txt	297680.00		294739.600	1619.328		5.216	0.008
RanInt_n240_ss_10.txt	295692.00		294808.800	604.731		5.219	0.018
RanInt_n480_ds_01.txt	735426.00		733464.000	1813.282		21.207	0.012
RanInt_n480_ds_02.txt	731984.00		729939.600	1173.801		21.248	0.011
RanInt_n480_ds_03.txt	731124.00		727953.600	1816.501		21.179	0.042
RanInt_n480_ds_04.txt	738114.00		735461.600	2091.477		21.254	0.031
RanInt_n480_ds_05.txt	730768.00		729816.400	871.977		21.170	0.023
RanInt_n480_ds_06.txt	734120.00		730168.800	2612.623		21.247	0.025
RanInt_n480_ds_07.txt	731212.00		729236.000	1415.642		21.288	0.265
RanInt_n480_ds_08.txt	733322.00		732456.000	635.599		21.485	0.201
RanInt_n480_ds_09.txt	734710.00		729774.400	2706.470		21.270	0.035
RanInt_n480_ds_10.txt	742776.00		737987.600	2530.997		21.334	0.026
RanInt_n480_ss_01.txt	712404.00		710800.000	1464.858		11.178	0.012
RanInt_n480_ss_02.txt	713778.00		710156.000	2661.449		11.214	0.064
RanInt_n480_ss_03.txt	710132.00		709127.200	609.425		11.091	0.023
RanInt_n480_ss_04.txt	712034.00		709253.600	1741.369		11.163	0.031
RanInt_n480_ss_05.txt	711060.00		709970.000	809.336		11.121	0.019
RanInt_n480_ss_06.txt	711408.00		709579.600	1172.402		11.190	0.029
RanInt_n480_ss_07.txt	710956.00		709887.200	1105.056		11.149	0.042
RanInt_n480_ss_08.txt	711538.00		709789.200	1390.259		11.174	0.028
RanInt_n480_ss_09.txt	710738.00		708365.600	1523.218		11.161	0.026
RanInt_n480_ss_10.txt	713368.00		710768.800	1388.030		11.191	0.031
RanInt_n960_ds_01.txt	2346562.00		2342736.400	2651.818		46.201	0.039
RanInt_n960_ds_02.txt	2339584.00		2336556.400	3342.498		46.204	0.620
RanInt_n960_ds_03.txt	2341134.00		2337957.200	2024.090		35.509	0.036
RanInt_n960_ds_04.txt	2345210.00		2341200.800	2901.691		35.594	0.062
RanInt_n960_ds_05.txt	2342324.00		2337611.200	3524.077		35.482	0.064
RanInt_n960_ds_06.txt	2338426.00		2334071.600	2581.890		35.575	0.093
RanInt_n960_ds_07.txt	2341124.00		2337796.800	2506.915		35.426	0.048
RanInt_n960_ds_08.txt	2345302.00		2340483.200	3587.282		35.556	0.038
RanInt_n960_ds_09.txt	2339612.00		2334284.000	3385.921		35.428	0.043
RanInt_n960_ds_10.txt	2344378.00		2340989.600	2206.967		35.552	0.046
RanInt_n960_ss_01.txt	2295474.00		2292815.600	2021.261		18.551	0.031
RanInt_n960_ss_02.txt	2297408.00		2291610.000	3921.755		18.665	0.184
RanInt_n960_ss_03.txt	2295820.00		2292534.400	2301.812		18.547	0.062
RanInt_n960_ss_04.txt	2298516.00		2293774.000	4165.696		18.641	0.074
RanInt_n960_ss_05.txt	2302868.00		2291882.800	6591.586		18.554	0.090
RanInt_n960_ss_06.txt	2300760.00		2293692.800	5517.356		18.652	0.040
RanInt_n960_ss_07.txt	2301610.00		2297652.800	2475.370		18.573	0.037
RanInt_n960_ss_08.txt	2298586.00		2293838.800	3718.581		18.583	0.042
RanInt_n960_ss_09.txt	2292618.00		2290777.200	1841.253		18.631	0.176
RanInt_n960_ss_10.txt	2296282.00		2292065.200	2919.081		18.552	0.050
RanReal_n120_ds_01.txt	96922.99		95778.590	913.119		3.560	0.008
RanReal_n120_ds_02.txt	97683.08		96900.247	747.087		3.579	0.010
RanReal_n120_ds_03.txt	94583.71		93978.611	583.515		3.554	0.006
RanReal_n120_ds_04.txt	96816.08		95925.356	669.477		3.562	0.011
RanReal_n120_ds_05.txt	94498.60		93769.397	762.354		3.550	0.009
RanReal_n120_ds_06.txt	96100.85		95811.760	232.724		3.556	0.008
RanReal_n120_ds_07.txt	96234.19		95656.414	395.560		3.563	0.004
RanReal_n120_ds_08.txt	96428.32		95975.926	276.284		3.558	0.004
RanReal_n120_ds_09.txt	96633.43		95818.736	415.281		3.543	0.005
RanReal_n120_ds_10.txt	95003.35		94524.568	304.303		3.550	0.006
RanReal_n120_ss_01.txt	90823.45		90182.191	523.413		1.853	0.007
RanReal_n120_ss_02.txt	90275.98		89836.226	266.237		1.866	0.018
RanReal_n120_ss_03.txt	89930.78		89579.465	265.824		1.846	0.009
RanReal_n120_ss_04.txt	91041.93		90070.156	590.194		1.877	0.008
RanReal_n120_ss_05.txt	89711.59		89251.837	465.456		1.867	0.010
RanReal_n120_ss_06.txt	90629.30		89884.398	590.710		1.858	0.011
RanReal_n120_ss_07.txt	89265.75		88808.648	376.436		1.881	0.010
RanReal_n120_ss_08.txt	90699.86		90106.119	432.372		1.898	0.029
RanReal_n120_ss_09.txt	91193.77		90674.734	343.867		1.869	0.011
RanReal_n120_ss_10.txt	90062.39		89761.525	172.541		1.860	0.005
RanReal_n240_ds_01.txt	305864.63		303774.079	2023.765		7.679	0.013
RanReal_n240_ds_02.txt	306247.10		305435.930	723.154		7.727	0.009
RanReal_n240_ds_03.txt	305791.51		303789.683	1913.950		7.705	0.007
RanReal_n240_ds_04.txt	307339.58		306017.762	1096.242		7.690	0.011
RanReal_n240_ds_05.txt	304204.89		302734.819	941.376		7.670	0.033
RanReal_n240_ds_06.txt	307623.78		306482.546	961.545		7.711	0.019
RanReal_n240_ds_07.txt	304741.49		303462.024	994.060		10.372	0.020
RanReal_n240_ds_08.txt	302460.62		300937.823	1275.467		7.695	0.016
RanReal_n240_ds_09.txt	305420.32		303732.532	869.898		7.688	0.032
RanReal_n240_ds_10.txt	304714.15		303966.383	690.468		10.384	0.012
RanReal_n240_ss_01.txt	294935.53		293881.526	899.269		4.011	0.015
RanReal_n240_ss_02.txt	297174.83		295063.048	1401.411		4.042	0.013
RanReal_n240_ss_03.txt	296457.56		295276.835	794.469		4.026	0.015
RanReal_n240_ss_04.txt	296203.34		294406.467	1096.009		4.045	0.024
RanReal_n240_ss_05.txt	295612.80		294324.076	751.010		5.277	0.025
RanReal_n240_ss_06.txt	297359.58		296096.978	1072.545		4.015	0.013
RanReal_n240_ss_07.txt	295683.04		294705.012	555.940		4.025	0.016
RanReal_n240_ss_08.txt	296138.12		294804.536	774.001		4.020	0.014
RanReal_n240_ss_09.txt	295379.30		294041.103	970.409		4.018	0.016
RanReal_n240_ss_10.txt	296455.53		295469.571	755.364		5.280	0.013
RanReal_n480_ds_01.txt	729365.32		728517.546	681.080		16.236	0.040
RanReal_n480_ds_02.txt	729510.41		726498.208	2120.600		16.328	0.024
RanReal_n480_ds_03.txt	730816.47		728962.871	1443.027		16.288	0.032
RanReal_n480_ds_04.txt	732894.77		731550.573	1145.788		16.354	0.056
RanReal_n480_ds_05.txt	731197.85		727229.048	2258.337		16.261	0.050
RanReal_n480_ds_06.txt	732575.26		730170.600	1812.501		16.302	0.027
RanReal_n480_ds_07.txt	730674.39		728361.275	2151.419		16.295	0.035
RanReal_n480_ds_08.txt	732915.64		730832.821	1314.585		16.351	0.039
RanReal_n480_ds_09.txt	727981.93		727370.845	638.443		16.291	0.035
