Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

RanReal_n120_ss_06.txt	45364.05		44992.593	372.305		5.749	0.168
RanReal_n120_ss_07.txt	45233.29		44599.087	452.939		5.903	0.116
RanReal_n120_ss_08.txt	45480.03		44911.026	318.490		5.637	0.095
RanReal_n120_ss_09.txt	45577.97		45163.008	272.936		5.730	0.120
RanReal_n120_ss_10.txt	45431.83		44883.714	307.274		5.653	0.046
RanReal_n240_ds_01.txt	152301.52		151552.710	423.760		23.740	0.263
RanReal_n240_ds_02.txt	152828.55		152510.290	244.290		23.404	0.254
RanReal_n240_ds_03.txt	151903.28		151280.583	468.285		23.395	0.350
RanReal_n240_ds_04.txt	153490.13		152061.478	1013.780		23.684	0.101
RanReal_n240_ds_05.txt	152116.15		150632.153	1304.531		23.648	0.142
RanReal_n240_ds_06.txt	153982.56		152504.396	1225.220		23.683	0.256
RanReal_n240_ds_07.txt	152178.46		151592.695	488.315		23.652	0.122
RanReal_n240_ds_08.txt	151549.92		150310.627	1193.847		23.720	0.318
RanReal_n240_ds_09.txt	151619.75		150840.977	533.164		23.639	0.281
RanReal_n240_ds_10.txt	150696.65		150093.486	497.923		23.716	0.234
RanReal_n240_ss_01.txt	147840.92		146130.117	885.997		12.133	0.181
RanReal_n240_ss_02.txt	147112.05		146622.348	521.782		12.437	0.266
RanReal_n240_ss_03.txt	147925.44		147259.772	727.415		12.573	0.119
RanReal_n240_ss_04.txt	147602.04		146910.730	664.098		12.531	0.179
RanReal_n240_ss_05.txt	146904.73		146203.558	806.894		12.136	0.261
RanReal_n240_ss_06.txt	148867.81		147284.221	877.460		12.290	0.316
RanReal_n240_ss_07.txt	148112.68		147429.954	650.951		12.275	0.162
RanReal_n240_ss_08.txt	147650.84		146845.320	447.225		12.353	0.140
RanReal_n240_ss_09.txt	148142.47		147115.175	766.489		12.285	0.258
RanReal_n240_ss_10.txt	147302.60		146052.627	703.544		12.492	0.323
RanReal_n480_ds_01.txt	363892.63		361510.474	1550.108		49.986	0.380
RanReal_n480_ds_02.txt	364419.80		362369.155	2297.054		49.751	0.425
RanReal_n480_ds_03.txt	365700.24		363452.468	1212.662		52.486	3.692
RanReal_n480_ds_04.txt	367915.46		364488.184	1888.967		50.277	0.454
RanReal_n480_ds_05.txt	363674.41		360425.680	1930.418		49.874	0.352
RanReal_n480_ds_06.txt	364293.68		362304.982	1164.681		49.888	0.259
RanReal_n480_ds_07.txt	364380.14		361845.059	2734.094		49.800	0.554
RanReal_n480_ds_08.txt	366247.14		364729.735	1236.360		49.510	0.217
RanReal_n480_ds_09.txt	363914.71		362636.428	1784.871		49.631	0.609
RanReal_n480_ds_10.txt	367859.64		366927.736	822.957		50.035	0.328
RanReal_n480_ss_01.txt	353870.04		351554.963	1874.102		26.237	0.581
RanReal_n480_ss_02.txt	355258.19		354189.559	1035.911		26.319	0.405
RanReal_n480_ss_03.txt	355555.76		353239.670	1471.731		26.826	0.488
RanReal_n480_ss_04.txt	354205.33		351257.446	2557.596		26.317	0.422
RanReal_n480_ss_05.txt	355114.54		353713.814	1308.733		25.651	0.155
RanReal_n480_ss_06.txt	356095.92		353334.453	2093.695		26.227	0.235
RanReal_n480_ss_07.txt	355095.79		353860.410	892.551		25.974	0.367
RanReal_n480_ss_08.txt	353546.87		352395.857	1261.744		26.550	0.440
RanReal_n480_ss_09.txt	354931.01		352857.124	1765.458		26.224	0.324
RanReal_n480_ss_10.txt	354782.87		352533.506	2265.168		26.569	0.193
RanReal_n960_ds_01.txt	1169830.98		1165003.344	5846.065		109.009	0.860
RanReal_n960_ds_02.txt	1170367.53		1163799.830	3813.203		109.608	0.259
RanReal_n960_ds_03.txt	1168282.27		1162132.219	5037.166		109.953	0.708
RanReal_n960_ds_04.txt	1172139.81		1162855.381	7437.843		109.266	0.975
RanReal_n960_ds_05.txt	1167547.92		1163600.711	5014.462		108.768	0.662
RanReal_n960_ds_06.txt	1164175.17		1159495.930	3250.754		109.600	0.608
RanReal_n960_ds_07.txt	1161548.46		1159670.340	2489.569		110.244	0.304
RanReal_n960_ds_08.txt	1165992.63		1161077.247	6732.248		109.599	0.680
RanReal_n960_ds_09.txt	1169761.83		1168060.043	1602.789		109.502	0.387
RanReal_n960_ds_10.txt	1173382.52		1164853.049	6761.428		109.728	0.997
RanReal_n960_ss_01.txt	1145655.27		1142542.065	3532.103		57.185	1.376
RanReal_n960_ss_02.txt	1147687.84		1142105.604	6611.558		58.058	0.581
RanReal_n960_ss_03.txt	1148977.10		1142326.804	4485.965		57.134	0.780
RanReal_n960_ss_04.txt	1148820.70		1145569.416	3906.295		56.749	0.556
RanReal_n960_ss_05.txt	1146731.01		1138594.182	5231.433		57.607	0.849
RanReal_n960_ss_06.txt	1143887.20		1138894.963	5844.379		57.863	0.724
RanReal_n960_ss_07.txt	1145196.09		1143081.135	1562.701		57.555	0.094
RanReal_n960_ss_08.txt	1146611.75		1142141.177	3032.929		58.230	1.400
RanReal_n960_ss_09.txt	1149237.88		1145693.278	2965.722		56.794	0.491
RanReal_n960_ss_10.txt	1151602.74		1146840.841	3674.192		57.279	0.724


############################GRASP############################

