Instância	melhor custo	média custo		std custo	média tempo		std tempo


############################Aleatório############################

Geo_n480_ds_05.txt	1869510.54		1867147.847	3000.995		0.003	0.000
Geo_n480_ds_06.txt	1906748.83		1904886.185	2222.297		0.003	0.000
Geo_n480_ds_07.txt	1635817.93		1632471.770	3597.630		0.004	0.000
Geo_n480_ds_08.txt	1102216.57		1095650.963	3854.229		0.004	0.000
Geo_n480_ds_09.txt	1259823.34		1249621.826	6398.872		0.004	0.000
Geo_n480_ds_10.txt	1750267.39		1744403.398	5347.359		0.004	0.000
Geo_n480_ss_01.txt	1077032.08		1073651.429	2881.099		0.001	0.000
Geo_n480_ss_02.txt	2053067.02		2049596.062	3069.645		0.001	0.000
Geo_n480_ss_03.txt	1238130.03		1234413.859	2106.974		0.001	0.000
Geo_n480_ss_04.txt	1545516.74		1541547.795	3036.975		0.001	0.000
Geo_n480_ss_05.txt	1853433.62		1851219.870	1929.092		0.001	0.000
Geo_n480_ss_06.txt	1891588.24		1889790.900	1502.511		0.001	0.000
Geo_n480_ss_07.txt	1619318.27		1616023.530	2887.717		0.001	0.000
Geo_n480_ss_08.txt	1087346.60		1082512.784	2956.628		0.001	0.000
Geo_n480_ss_09.txt	1241726.33		1240413.045	1543.142		0.001	0.000
Geo_n480_ss_10.txt	1728460.08		1726448.155	1902.850		0.002	0.000
Geo_n960_ds_01.txt	6450765.25		6447826.026	2180.610		0.006	0.000
Geo_n960_ds_02.txt	3281445.74		3278509.200	3699.063		0.005	0.000
Geo_n960_ds_03.txt	6446883.25		6437486.763	6173.543		0.005	0.000
Geo_n960_ds_04.txt	6974705.01		6970167.491	3635.847		0.006	0.000
Geo_n960_ds_05.txt	4481115.50		4476601.148	4059.927		0.005	0.000
Geo_n960_ds_06.txt	6087543.35		6080797.587	4521.944		0.005	0.000
Geo_n960_ds_07.txt	2478703.13		2477119.313	1827.905		0.005	0.000
Geo_n960_ds_08.txt	3311813.49		3298584.732	9808.028		0.005	0.000
Geo_n960_ds_09.txt	3626967.83		3622137.892	3711.759		0.005	0.000
Geo_n960_ds_10.txt	5021810.87		5009946.238	7798.076		0.005	0.000
Geo_n960_ss_01.txt	6418711.94		6415184.895	2353.632		0.002	0.000
Geo_n960_ss_02.txt	3278343.53		3268150.705	5821.728		0.002	0.000
Geo_n960_ss_03.txt	6419590.80		6412459.734	5256.568		0.002	0.000
